route_label,step,Latitude,Longitude
route_00,0,55.54296990849673,15.45294568627451
route_00,1,55.47635506024439,15.203925680306906
route_00,2,55.400174787723785,14.904853429809606
route_00,3,55.32269629724354,14.617584697783462
route_00,4,55.23588266467747,14.350954747087242
route_00,5,55.143607693947146,14.095737415316853
route_00,6,55.057409628303496,13.83973182225064
route_00,7,54.98401335322535,13.585385089798239
route_00,8,54.92024501875533,13.327905363455526
route_00,9,54.860347703324805,13.056236398550725
route_00,10,54.801867889457235,12.794787868002274
route_00,11,54.750236188121626,12.531571153878943
route_00,12,54.704893772094344,12.266008415743109
route_00,13,54.667014986643935,12.013043277777777
route_00,14,54.634024811878376,11.77032123756749
route_00,15,54.6006796112532,11.550753795680592
route_00,16,54.56320567007673,11.32887245069622
route_00,17,54.53472632935493,11.129615575731743
route_00,18,54.51637868258028,10.944024850951974
route_00,19,54.49994890764422,10.75548356763285
route_00,20,54.47524783120205,10.575987074595055
route_00,21,54.43642827763569,10.407171732310315
route_00,22,54.38454346888321,10.263534242398409
route_00,23,54.328676411764704,10.157029607843137
route_01,0,57.44755833495146,10.821323468770226
route_01,1,57.47858422154214,10.86848326739834
route_01,2,57.50957774722105,10.936121285225834
route_01,3,57.53522146827072,10.993551707457437
route_01,4,57.54611462417335,11.035271363775152
route_01,5,57.55671876459828,11.05580838015337
route_01,6,57.56504960574082,11.075468411671592
route_01,7,57.57482777880963,11.086467194843113
route_01,8,57.581256678486,11.100125818066696
route_01,9,57.57851585915295,11.103986027472914
route_01,10,57.579104339172645,11.116083662199241
route_01,11,57.575714968130015,11.1056726890038
route_01,12,57.58069341515407,11.114227503834249
route_01,13,57.58676759251442,11.11441152691009
route_01,14,57.58334879745321,11.105424028915154
route_01,15,57.59050023526101,11.091580033347403
route_01,16,57.5901505300408,11.071382564267623
route_01,17,57.595457571056706,11.05386751762347
route_01,18,57.58261650218095,11.020489559940904
route_01,19,57.57822559378078,10.990198804713662
route_01,20,57.56208356120726,10.942563593710426
route_01,21,57.53165630737301,10.868550910222316
route_01,22,57.49613201611088,10.791704583931335
route_01,23,57.459276953074436,10.715500383818771
route_02,0,55.93711656028369,4.716242458156029
route_02,1,55.934036508171445,4.709911275578168
route_02,2,55.9320686635831,4.710406144773357
route_02,3,55.93098782022818,4.712403355658341
route_02,4,55.929708692260256,4.714287079679309
route_02,5,55.92904674560592,4.715816957230959
route_02,6,55.9287056586494,4.718317816281221
route_02,7,55.92932669380203,4.72166610027752
route_02,8,55.92999506321308,4.724538067776751
route_02,9,55.93118307215541,4.727557175763182
route_02,10,55.93197984397163,4.7307945765032375
route_02,11,55.93331772278754,4.735658509466543
route_02,12,55.93461243632439,4.739044522417516
route_02,13,55.935953858156026,4.742853939007092
route_02,14,55.94288537989516,4.741719423465927
route_02,15,55.94491954239901,4.745386756583411
route_02,16,55.944295600370026,4.753773218470552
route_02,17,55.948218209682395,4.756261269041011
route_02,18,55.95000938297872,4.760870377644157
route_02,19,55.95072301325933,4.768735383472094
route_02,20,55.95288736879433,4.772614427998766
route_02,21,55.95295600277521,4.776335358803577
route_02,22,55.95379503052729,4.779368396114708
route_02,23,55.9553210070922,4.788667088652482
route_03,0,55.593337444444444,8.069248820289856
route_03,1,55.601805084856124,8.136246043289225
route_03,2,55.601218735559755,8.1652683594623
route_03,3,55.600877038857384,8.179315427494224
route_03,4,55.6061856826297,8.19236591094308
route_03,5,55.618979072463766,8.18441922352447
route_03,6,55.6158770457887,8.168853170762446
route_03,7,55.621114647132956,8.172270743415249
route_03,8,55.62147957088847,8.165897888384794
route_03,9,55.61986271980676,8.164433289014912
route_03,10,55.63069657067843,8.162893327284184
route_03,11,55.62490923944549,8.16791095694182
route_03,12,55.62306448078135,8.17802255610166
route_03,13,55.62499003822726,8.183928925393825
route_03,14,55.63393588048729,8.199834580823357
route_03,15,55.64119784583071,8.228668017916405
route_03,16,55.63756227494224,8.233878428880487
route_03,17,55.64179351207729,8.211223085591262
route_03,18,55.63947527200168,8.229259025729888
route_03,19,55.64049295673178,8.230929602751523
route_03,20,55.63917685780298,8.222509768431001
route_03,21,55.638137367359796,8.20197205715186
route_03,22,55.63213097437513,8.144637802604494
route_03,23,55.61273783091787,8.058140690338165
route_04,0,54.50955544225352,11.04161278028169
route_04,1,54.538354915737905,11.086875069748928
route_04,2,54.55201247666871,11.148271425045928
route_04,3,54.553456258787506,11.203891137048377
route_04,4,54.55008130606246,11.266610410410287
route_04,5,54.54989058603797,11.334250228475199
route_04,6,54.54789582914881,11.393361432210655
route_04,7,54.552796208205756,11.461479251928965
route_04,8,54.55721541334967,11.532672437477036
route_04,9,54.561068147703615,11.596868063747703
route_04,10,54.57289464286589,11.671255873239437
route_04,11,54.57899986552358,11.7554527044703
route_04,12,54.58482214770361,11.838938249908145
route_04,13,54.598339688916106,11.928880700428659
route_04,14,54.61354829050827,12.015111372872015
route_04,15,54.635605678628295,12.099787289589711
route_04,16,54.65260512345377,12.183416356766687
route_04,17,54.67589150312308,12.268793490202082
route_04,18,54.69736597795468,12.346255762584201
route_04,19,54.72712318787508,12.43233644249847
route_04,20,54.75522833251684,12.524470438885487
route_04,21,54.779475152112674,12.620262175566442
route_04,22,54.81002371586038,12.730937728965094
route_04,23,54.83445246760564,12.829961512676057
route_05,0,56.98139095686275,7.91765667882353
route_05,1,57.15183462591645,8.324460551202048
route_05,2,57.32413518635976,8.801402333418585
route_05,3,57.47437937647059,9.304078305660699
route_05,4,57.579488765899406,9.803138214168797
route_05,5,57.60459685933504,10.27402954402387
route_05,6,57.55219543256607,10.691915496248935
route_05,7,57.431652096675194,11.041257413895993
route_05,8,57.264686118329074,11.3024960543052
route_05,9,57.047351822847396,11.455259477067349
route_05,10,56.80946813094629,11.541363613384485
route_05,11,56.565377646035806,11.59619302114237
route_05,12,56.30596577800512,11.65962035481671
route_05,13,56.04034414799659,11.734688513469736
route_05,14,55.78838638363171,11.834555896163684
route_05,15,55.550129209036655,12.00292755822677
route_05,16,55.352744544245525,12.224520017050299
route_05,17,55.21073666018756,12.46924685660699
route_05,18,55.12816948900256,12.816373469820972
route_05,19,55.086968542199486,13.257402197953965
route_05,20,55.11281845353794,13.724841874509803
route_05,21,55.22009714953112,14.161215078687126
route_05,22,55.32519308678602,14.623268446547314
route_05,23,55.398183137254904,15.059421631372551
route_06,0,55.43299047761194,15.13775077238806
route_06,1,55.36036349756652,14.634411170668397
route_06,2,55.247027903471775,14.120110707089552
route_06,3,55.11259514941597,13.657101805402336
route_06,4,55.056652746268654,13.158841149415963
route_06,5,55.042148169695004,12.68751179753407
route_06,6,55.06771464925373,12.3161968483939
route_06,7,55.188444634652825,11.98907661234588
route_06,8,55.40308879347826,11.728515434052563
route_06,9,55.665279532122,11.582236608046722
route_06,10,55.953039680889034,11.563428916044776
route_06,11,56.24769248247891,11.527133105288774
route_06,12,56.530009718689165,11.517695007949383
route_06,13,56.79723998880597,11.51419318478261
route_06,14,57.033001489292666,11.477524973231668
route_06,15,57.24242128861129,11.362658043234912
route_06,16,57.4278106385464,11.135503160447762
route_06,17,57.55947675194679,10.827171604720961
route_06,18,57.62527065071382,10.438224550129785
route_06,19,57.611851063270606,9.953196227579493
route_06,20,57.52496269143413,9.433231530191435
route_06,21,57.3746951069111,8.933108442147956
route_06,22,57.189179082414014,8.477961694695002
route_06,23,57.01315917537313,8.089841140671641
route_07,0,55.7405108259587,10.609922763126844
route_07,1,55.75124739515198,10.647654090483519
route_07,2,55.75773277068103,10.662109512633064
route_07,3,55.75091304091317,10.66097574291394
route_07,4,55.73794486251122,10.620137270360395
route_07,5,55.73752746004874,10.575213992112351
route_07,6,55.727077150442476,10.555714645889445
route_07,7,55.73050952622803,10.518582468718737
